pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,st_teff,st_mass,st_rad,st_met,pl_eqt_normalized,st_met_normalized,surface_gravity,surface_gravity_normalized,habitability_score,terraformability_score,st_activity,pl_atmos,pl_surf_temp,pl_escape_vel,pl_radiation_flux,ESI,pl_water_probability
OGLE-2016-BLG-1227L b,13.9,250,,912.5307146,5412.39249,0.1,,0.014262971,0,-3.37E-16,1.293928886,-0.153474382,42.57762261,73.50838605,0.646901878,0.999960083,1003.780144,47.49858006,0,0.001789494,0
Kepler-24 e,2.78,8.15,18.998355,792,5897,1.05,1.29,-0.071,-0.302063808,-0.473379612,1.054552042,-0.167278362,44.61863308,53.58155417,0.52575,0.178098413,806.1053943,19.1767245,0.253580848,0.015668199,0
Kepler-1065 b,3.73,13.4,3.60930891,1092,5635,0.94,0.93,-0.01,0.449770632,-0.134707901,0.963134932,-0.17255005,45.05372618,53.58747224,0.59125,0.075347341,1100.22793,21.22833859,0.332518179,0.003488742,0
HD 132406 b,12.8,1887.90074,908,912.5307146,5766,0.97,1.34,0.129,0,0.637019439,11.52283167,0.436388725,42.70709508,94.34488302,0.5585,1,1003.783786,136.0199517,0.018990691,0.000982135,0
TOI-1260 c,2.76,13.2,7.493134,651,4227,0.68,0.67,-0.1,-0.655425994,-0.634387474,1.732829238,-0.128164617,43.15451536,54.71815176,0.94325,0.355992381,674.175104,24.49347739,0.033578357,0.028753514,0
HD 149143 b,13.6,422.7139,4.07182,912.5307146,5856,1.2,1.44,0.29,0,1.530890675,2.285434148,-0.09629793,48.9545502,83.18826752,0.536,0.999999995,1003.783786,62.44128514,0.85801206,0.001544589,0
HD 99492 b,5.44,25.5,17.0503,912.5307146,4929,0.85,0.82,0.3,0,1.586410628,0.861672794,-0.178400997,43.01941785,53.96379545,0.76775,0.222670536,932.850085,24.24871131,0.053752435,0.005630631,0
nu Oph c,12,7838.32346,3180.6,912.5307146,4887,2.61,12.24,0.1,0,0.476011577,54.43280181,2.910848486,45.18151235,99.7200788,0.77825,1,1003.783786,286.2457125,0.354499809,0.000621078,0
75 Cet b,13.3,787.89662,696.62,912.5307146,4809,1.92,10.38,0.1,0,0.476011577,4.454161456,0.028764578,47.45267043,87.67388187,0.79775,1,1003.783786,86.20388143,0.657919925,0.001285091,0
gam Lib b,13.7,357.87479,414.88,912.5307146,4879,1.78,12.38,-0.27,0,-1.578226668,1.90673339,-0.118136206,47.01786914,79.7149921,0.78025,0.999999845,1003.783772,57.24311941,1.400789074,0.001619486,0
HD 113337 b,13.1,1035.80278,317.58639,912.5307146,6667.33,1.4,1.53,0.07,0,0.309451719,6.035795,0.119971553,43.22541969,89.58497748,0.3331675,1,1003.783786,99.59118754,0.08916052,0.001183778,0
HD 28109 c,4.23,7.943,56.00819,585.2,6120,1.26,1.45,0,-0.820328348,-0.079187949,0.443919096,-0.202491313,44.44382416,52.82969813,0.47,0.292251459,602.3025554,15.34758758,0.180771731,0.045199616,0
K2-350 b,1.54,2.99,4.163873,1158,5789,0.98,1.04,-0.02,0.615174208,-0.190227854,1.260752235,-0.155387557,45.72420882,51.18922405,0.55275,0.039360958,1162.557999,15.60605943,0.421087559,0.004446661,0
K2-342 b,2.03,4.78,11.561052,861,5920,1.01,1.09,-0.06,-0.129141887,-0.412307664,1.15994079,-0.161200982,44.60982872,51.98189492,0.52,0.125536087,871.8086571,17.18636187,0.256073578,0.013459944,0
EPIC 212587672 b,1.26,2.13,15.28078,756,6004,0.99,0.98,-0.18,-0.39228394,-1.078547095,1.34164777,-0.15072261,44.24704817,50.75858073,0.499,0.168708847,768.7543888,14.56205114,0.181833705,0.028616387,0
K2-332 b,2.2,5.48,17.70632,266,3315,0.27,0.28,0.09,-1.620280191,0.420491624,1.132231405,-0.16279888,59.69302015,53.73292184,1,0.591379097,281.730684,17.67652784,0.001250416,0.602045411,0.978231542
K2-340 b,3.36,11.2,29.740451,606,5532,0.93,1.13,0.08,-0.76820116,0.364971672,0.992063492,-0.170881846,43.84678,54.69541263,0.617,0.338545891,626.515881,20.44830881,0.111774754,0.038169663,0
